Index,Title,Year,Genre,Director,Writer,Actors,Language,Country,Awards,IMDB rating
86,Kadhal Mattum Vena,2019,Thriller,Sam Khan,Sam Khan,"Sam Khan, G. Marimuthu, E. Ramdoss",Tamil,India,N/A,N/A
87,Arandavanuku Irundadhellam Pei,2019,N/A,M.S. Selva,N/A,"P. Saravanan, Anu Krishna",Tamil,India,N/A,N/A
88,Kanne Kalaimaane,2018,Romance,Seenu Ramasamy,N/A,"Tamannaah Bhatia, Udhayanidhi Stalin",Tamil,India,N/A,N/A
89,LKG,2019,N/A,Prabhu,RJ Balaji,"RJ Balaji, Priya Anand, J.K. Rithesh, Ramkumar Ganesan",Tamil,India,N/A,7.5
90,Pettikadai,2019,Drama,Esakki Karvannan,Esakki Karvannan,"Samuthirakani, Veera, Chandini Tamilarasan, Varsha Bollamma",Tamil,India,N/A,N/A
91,Adadae,2019,N/A,Kamal Saromuni,Kamal Saromuni,"Alexander Babu, Aru Pazhani, Vikram Shadev",Tamil,India,N/A,N/A
92,Dha Dha 87,2019,"Action, Drama",Vijay Srig,N/A,"Charu Haasan, Janagaraj, Bala Singh",Tamil,India,N/A,4.1
93,Thadam,2019,"Action, Crime, Thriller",Magizh Thirumeni,"Magizh Thirumeni (dialogue), Magizh Thirumeni (screenplay), Magizh Thirumeni (story)","Arun Vijay, Tanya Hope, Smruthi Venkat, Fefsi Vijayan",Tamil,India,N/A,8.2
94,Thirumanam,2019,Drama,Cheran,Cheran,"Cheran, Sukanya",Tamil,India,N/A,6.7
95,Vilambaram,1987,"Comedy, Crime, Mystery",Balachandra Menon,Balachandra Menon,"M.G. Soman, Balachandra Menon, Thilakan, Ambika",N/A,N/A,N/A,5.7
96,Kabilavasthu,2019,Drama,Nesam Murali,N/A,"Nesam Murali, Nandhini",Tamil,India,N/A,N/A
97,Pottu,2019,Horror,V.C. Vadivudaiyan,V.C. Vadivudaiyan,"Iniya, Namitha, Srushti Dange, Manisha Yadav",Tamil,India,N/A,3.8
98,Sathru,2019,Thriller,Naveen Nanjundan,N/A,"Srushti Dange, Kathir, Laguparan, Marimuthu",N/A,India,N/A,6.1
99,Aghavan,2019,Family,Ezhumalai,Ezhumalai,"Chirashree Anchan, Chinni Jayanth, Kishore, R.N.R. Manohar",Tamil,India,N/A,6.6
100,Gilli Bambaram Goli,2019,N/A,D. Manoharran,N/A,"Ganja' Karuppu, Santhosh Kumar, Naresh, Prasath",Tamil,India,N/A,N/A
101,Ispade Rajavum Idhaya Raniyum,2019,"Drama, Romance",Ranjit Jeyakodi,Ranjit Jeyakodi,"Harish Kalyan, Shilpa Manjunath, Makapa Anand, Bala Saravanan",Tamil,India,N/A,6.2
102,July Kaatril,2019,Romance,K.C. Sundaram,K.C. Sundaram,"Ananth Nag, Anju Kurian, Samyuktha Menon, Sathish",Tamil,India,N/A,7.7
103,Nedunalvaadai,2019,N/A,Selvakannan,Selvakannan,"Elvis Alexander, Mime Gopi, Aindhu Kovilan, Anjali Nair",Tamil,India,N/A,8.8
104,Agni Devi,2019,"Crime, Drama",Jpr,Jpr,"Sathish Krishnan, Bobby Simha",N/A,N/A,N/A,N/A
105,Embiran,2018,N/A,Krishna Pandi,N/A,Rajith Menon,Tamil,India,N/A,N/A
106,Maanasi,2019,Drama,Navaz Suleiman,N/A,"Harissa Beegum, Naresh Madeswar",Tamil,India,N/A,N/A
107,Neerthirai,2019,Drama,Ps Dharan,N/A,"Ashwin Kakumanu, Nassar, Bala Singh, Thalaivasal Vijay",Tamil,India,N/A,N/A
108,Pattipulam,2019,Comedy,Suresh,N/A,"Yogi Babu, Amitha Rao, Veera Samar",Tamil,India,N/A,N/A
109,Saaral,2019,Drama,Rose Mani,N/A,"Azhar, Sri Priyanka, Powerstar Srinivasan",Tamil,India,N/A,N/A
110,Airaa,2019,"Drama, Horror",Sarjun,Priyanka Ravindran,"Nayanthara, Kalaiyarasan, Yogi Babu, Maathevan",Tamil,India,N/A,4.6
111,Super Deluxe,2019,"Action, Crime, Drama, Thriller",Thiagarajan Kumararaja,"Thiagarajan Kumararaja, Nalan Kumarasamy (additional screenplay), Myshkin (additional screenplay), Sekar Neelan (additional screenplay)","Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan",Tamil,India,5 wins & 1 nomination.,8.4
